0,0: 	 D0: 	 1 				D1: 	 65 
2,138: 	 D0: 	 1067 				D1: 	 1131 
3,138: 	 D0: 	 1083 				D1: 	 1147 
0,139: 	 D0: 	 1036 				D1: 	 1100 
1,139: 	 D0: 	 1052 				D1: 	 1116 
2,139: 	 D0: 	 1068 				D1: 	 1132 
3,139: 	 D0: 	 1084 				D1: 	 1148 
0,140: 	 D0: 	 1037 				D1: 	 1101 
1,140: 	 D0: 	 1053 				D1: 	 1117 
2,140: 	 D0: 	 1069 				D1: 	 1133 
3,140: 	 D0: 	 1085 				D1: 	 1149 
0,141: 	 D0: 	 1038 				D1: 	 1102 
1,141: 	 D0: 	 1054 				D1: 	 1118 
2,141: 	 D0: 	 1070 				D1: 	 1134 
3,141: 	 D0: 	 1086 				D1: 	 1150 
0,142: 	 D0: 	 1039 				D1: 	 1103 
1,142: 	 D0: 	 1055 				D1: 	 1119 
2,142: 	 D0: 	 1071 				D1: 	 1135 
3,142: 	 D0: 	 1087 				D1: 	 1151 
0,143: 	 D0: 	 1040 				D1: 	 1104 
1,143: 	 D0: 	 1056 				D1: 	 1120 
2,143: 	 D0: 	 1072 				D1: 	 1136 
3,143: 	 D0: 	 1088 				D1: 	 1152 
0,144: 	 D0: 	 1153 				D1: 	 1217 
1,144: 	 D0: 	 1169 				D1: 	 1233 
2,144: 	 D0: 	 1185 				D1: 	 1249 
3,144: 	 D0: 	 1201 				D1: 	 1265 
0,145: 	 D0: 	 1154 				D1: 	 1218 
1,145: 	 D0: 	 1170 				D1: 	 1234 
2,145: 	 D0: 	 1186 				D1: 	 1250 
3,145: 	 D0: 	 1202 				D1: 	 1266 
0,146: 	 D0: 	 1155 				D1: 	 1219 
1,146: 	 D0: 	 1171 				D1: 	 1235 
2,146: 	 D0: 	 1187 				D1: 	 1251 
3,146: 	 D0: 	 1203 				D1: 	 1267 
0,147: 	 D0: 	 1156 				D1: 	 1220 
1,147: 	 D0: 	 1172 				D1: 	 1236 
2,147: 	 D0: 	 1188 				D1: 	 1252 
3,147: 	 D0: 	 1204 				D1: 	 1268 
0,148: 	 D0: 	 1157 				D1: 	 1221 
1,148: 	 D0: 	 1173 				D1: 	 1237 
2,148: 	 D0: 	 1189 				D1: 	 1253 
3,148: 	 D0: 	 1205 				D1: 	 1269 
0,149: 	 D0: 	 1158 				D1: 	 1222 
1,149: 	 D0: 	 1174 				D1: 	 1238 
2,149: 	 D0: 	 1190 				D1: 	 1254 
3,149: 	 D0: 	 1206 				D1: 	 1270 
0,150: 	 D0: 	 1159 				D1: 	 1223 
1,150: 	 D0: 	 1175 				D1: 	 1239 
2,150: 	 D0: 	 1191 				D1: 	 1255 
3,150: 	 D0: 	 1207 				D1: 	 1271 
0,151: 	 D0: 	 1160 				D1: 	 1224 
1,151: 	 D0: 	 1176 				D1: 	 1240 
2,151: 	 D0: 	 1192 				D1: 	 1256 
3,151: 	 D0: 	 1208 				D1: 	 1272 
0,152: 	 D0: 	 1161 				D1: 	 1225 
1,152: 	 D0: 	 1177 				D1: 	 1241 
2,152: 	 D0: 	 1193 				D1: 	 1257 
3,152: 	 D0: 	 1209 				D1: 	 1273 
0,153: 	 D0: 	 1162 				D1: 	 1226 
1,153: 	 D0: 	 1178 				D1: 	 1242 
2,153: 	 D0: 	 1194 				D1: 	 1258 
3,153: 	 D0: 	 1210 				D1: 	 1274 
0,154: 	 D0: 	 1163 				D1: 	 1227 
1,154: 	 D0: 	 1179 				D1: 	 1243 
2,154: 	 D0: 	 1195 				D1: 	 1259 
3,154: 	 D0: 	 1211 				D1: 	 1275 
0,155: 	 D0: 	 1164 				D1: 	 1228 
1,155: 	 D0: 	 1180 				D1: 	 1244 
2,155: 	 D0: 	 1196 				D1: 	 1260 
3,155: 	 D0: 	 1212 				D1: 	 1276 
0,156: 	 D0: 	 1165 				D1: 	 1229 
1,156: 	 D0: 	 1181 				D1: 	 1245 
2,156: 	 D0: 	 1197 				D1: 	 1261 
3,156: 	 D0: 	 1213 				D1: 	 1277 
0,157: 	 D0: 	 1166 				D1: 	 1230 
1,157: 	 D0: 	 1182 				D1: 	 1246 
2,157: 	 D0: 	 1198 				D1: 	 1262 
3,157: 	 D0: 	 1214 				D1: 	 1278 
0,158: 	 D0: 	 1167 				D1: 	 1231 
1,158: 	 D0: 	 1183 				D1: 	 1247 
2,158: 	 D0: 	 1199 				D1: 	 1263 
3,158: 	 D0: 	 1215 				D1: 	 1279 
0,159: 	 D0: 	 1168 				D1: 	 1232 
1,159: 	 D0: 	 1184 				D1: 	 1248 
2,159: 	 D0: 	 1200 				D1: 	 1264 
3,159: 	 D0: 	 1216 				D1: 	 1280 
0,160: 	 D0: 	 1281 				D1: 	 1345 
1,160: 	 D0: 	 1297 				D1: 	 1361 
2,160: 	 D0: 	 1313 				D1: 	 1377 
3,160: 	 D0: 	 1329 				D1: 	 1393 
0,161: 	 D0: 	 1282 				D1: 	 1346 
1,161: 	 D0: 	 1298 				D1: 	 1362 
2,161: 	 D0: 	 1314 				D1: 	 1378 
3,161: 	 D0: 	 1330 				D1: 	 1394 
0,162: 	 D0: 	 1283 				D1: 	 1347 
1,162: 	 D0: 	 1299 				D1: 	 1363 
2,162: 	 D0: 	 1315 				D1: 	 1379 
3,162: 	 D0: 	 1331 				D1: 	 1395 
0,163: 	 D0: 	 1284 				D1: 	 1348 
1,163: 	 D0: 	 1300 				D1: 	 1364 
2,163: 	 D0: 	 1316 				D1: 	 1380 
3,163: 	 D0: 	 1332 				D1: 	 1396 
0,164: 	 D0: 	 1285 				D1: 	 1349 
1,164: 	 D0: 	 1301 				D1: 	 1365 
2,164: 	 D0: 	 1317 				D1: 	 1381 
3,164: 	 D0: 	 1333 				D1: 	 1397 
0,165: 	 D0: 	 1286 				D1: 	 1350 
1,165: 	 D0: 	 1302 				D1: 	 1366 
2,165: 	 D0: 	 1318 				D1: 	 1382 
3,165: 	 D0: 	 1334 				D1: 	 1398 
0,166: 	 D0: 	 1287 				D1: 	 1351 
1,166: 	 D0: 	 1303 				D1: 	 1367 
2,166: 	 D0: 	 1319 				D1: 	 1383 
3,166: 	 D0: 	 1335 				D1: 	 1399 
0,167: 	 D0: 	 1288 				D1: 	 1352 
1,167: 	 D0: 	 1304 				D1: 	 1368 
2,167: 	 D0: 	 1320 				D1: 	 1384 
3,167: 	 D0: 	 1336 				D1: 	 1400 
0,168: 	 D0: 	 1289 				D1: 	 1353 
1,168: 	 D0: 	 1305 				D1: 	 1369 
2,168: 	 D0: 	 1321 				D1: 	 1385 
3,168: 	 D0: 	 1337 				D1: 	 1401 
0,169: 	 D0: 	 1290 				D1: 	 1354 
1,169: 	 D0: 	 1306 				D1: 	 1370 
2,169: 	 D0: 	 1322 				D1: 	 1386 
3,169: 	 D0: 	 1338 				D1: 	 1402 
0,170: 	 D0: 	 1291 				D1: 	 1355 
1,170: 	 D0: 	 1307 				D1: 	 1371 
2,170: 	 D0: 	 1323 				D1: 	 1387 
3,170: 	 D0: 	 1339 				D1: 	 1403 
0,171: 	 D0: 	 1292 				D1: 	 1356 
1,171: 	 D0: 	 1308 				D1: 	 1372 
2,171: 	 D0: 	 1324 				D1: 	 1388 
3,171: 	 D0: 	 1340 				D1: 	 1404 
0,172: 	 D0: 	 1293 				D1: 	 1357 
1,172: 	 D0: 	 1309 				D1: 	 1373 
2,172: 	 D0: 	 1325 				D1: 	 1389 
3,172: 	 D0: 	 1341 				D1: 	 1405 
0,173: 	 D0: 	 1294 				D1: 	 1358 
1,173: 	 D0: 	 1310 				D1: 	 1374 
2,173: 	 D0: 	 1326 				D1: 	 1390 
3,173: 	 D0: 	 1342 				D1: 	 1406 
0,174: 	 D0: 	 1295 				D1: 	 1359 
1,174: 	 D0: 	 1311 				D1: 	 1375 
2,174: 	 D0: 	 1327 				D1: 	 1391 
3,174: 	 D0: 	 1343 				D1: 	 1407 
0,175: 	 D0: 	 1296 				D1: 	 1360 
1,175: 	 D0: 	 1312 				D1: 	 1376 
2,175: 	 D0: 	 1328 				D1: 	 1392 
3,175: 	 D0: 	 1344 				D1: 	 1408 
0,176: 	 D0: 	 1409 				D1: 	 1473 
1,176: 	 D0: 	 1425 				D1: 	 1489 
2,176: 	 D0: 	 1441 				D1: 	 1505 
3,176: 	 D0: 	 1457 				D1: 	 1521 
0,177: 	 D0: 	 1410 				D1: 	 1474 
1,177: 	 D0: 	 1426 				D1: 	 1490 
2,177: 	 D0: 	 1442 				D1: 	 1506 
3,177: 	 D0: 	 1458 				D1: 	 1522 
0,178: 	 D0: 	 1411 				D1: 	 1475 
1,178: 	 D0: 	 1427 				D1: 	 1491 
2,178: 	 D0: 	 1443 				D1: 	 1507 
3,178: 	 D0: 	 1459 				D1: 	 1523 
0,179: 	 D0: 	 1412 				D1: 	 1476 
1,179: 	 D0: 	 1428 				D1: 	 1492 
2,179: 	 D0: 	 1444 				D1: 	 1508 
3,179: 	 D0: 	 1460 				D1: 	 1524 
0,180: 	 D0: 	 1413 				D1: 	 1477 
1,180: 	 D0: 	 1429 				D1: 	 1493 
2,180: 	 D0: 	 1445 				D1: 	 1509 
3,180: 	 D0: 	 1461 				D1: 	 1525 
0,181: 	 D0: 	 1414 				D1: 	 1478 
1,181: 	 D0: 	 1430 				D1: 	 1494 
2,181: 	 D0: 	 1446 				D1: 	 1510 
3,181: 	 D0: 	 1462 				D1: 	 1526 
0,182: 	 D0: 	 1415 				D1: 	 1479 
1,182: 	 D0: 	 1431 				D1: 	 1495 
2,182: 	 D0: 	 1447 				D1: 	 1511 
3,182: 	 D0: 	 1463 				D1: 	 1527 
0,183: 	 D0: 	 1416 				D1: 	 1480 
1,183: 	 D0: 	 1432 				D1: 	 1496 
2,183: 	 D0: 	 1448 				D1: 	 1512 
3,183: 	 D0: 	 1464 				D1: 	 1528 
0,184: 	 D0: 	 1417 				D1: 	 1481 
1,184: 	 D0: 	 1433 				D1: 	 1497 
2,184: 	 D0: 	 1449 				D1: 	 1513 
3,184: 	 D0: 	 1465 				D1: 	 1529 
0,185: 	 D0: 	 1418 				D1: 	 1482 
1,185: 	 D0: 	 1434 				D1: 	 1498 
2,185: 	 D0: 	 1450 				D1: 	 1514 
3,185: 	 D0: 	 1466 				D1: 	 1530 
0,186: 	 D0: 	 1419 				D1: 	 1483 
1,186: 	 D0: 	 1435 				D1: 	 1499 
2,186: 	 D0: 	 1451 				D1: 	 1515 
3,186: 	 D0: 	 1467 				D1: 	 1531 
0,187: 	 D0: 	 1420 				D1: 	 1484 
1,187: 	 D0: 	 1436 				D1: 	 1500 
2,187: 	 D0: 	 1452 				D1: 	 1516 
3,187: 	 D0: 	 1468 				D1: 	 1532 
0,188: 	 D0: 	 1421 				D1: 	 1485 
1,188: 	 D0: 	 1437 				D1: 	 1501 
2,188: 	 D0: 	 1453 				D1: 	 1517 
3,188: 	 D0: 	 1469 				D1: 	 1533 
0,189: 	 D0: 	 1422 				D1: 	 1486 
1,189: 	 D0: 	 1438 				D1: 	 1502 
2,189: 	 D0: 	 1454 				D1: 	 1518 
3,189: 	 D0: 	 1470 				D1: 	 1534 
0,190: 	 D0: 	 1423 				D1: 	 1487 
1,190: 	 D0: 	 1439 				D1: 	 1503 
2,190: 	 D0: 	 1455 				D1: 	 1519 
3,190: 	 D0: 	 1471 				D1: 	 1535 
0,191: 	 D0: 	 1424 				D1: 	 1488 
1,191: 	 D0: 	 1440 				D1: 	 1504 
2,191: 	 D0: 	 1456 				D1: 	 1520 
3,191: 	 D0: 	 1472 				D1: 	 1536 
0,192: 	 D0: 	 1537 				D1: 	 1601 
1,192: 	 D0: 	 1553 				D1: 	 1617 
2,192: 	 D0: 	 1569 				D1: 	 1633 
3,192: 	 D0: 	 1585 				D1: 	 1649 
0,193: 	 D0: 	 1538 				D1: 	 1602 
1,193: 	 D0: 	 1554 				D1: 	 1618 
2,193: 	 D0: 	 1570 				D1: 	 1634 
3,193: 	 D0: 	 1586 				D1: 	 1650 
0,194: 	 D0: 	 1539 				D1: 	 1603 
1,194: 	 D0: 	 1555 				D1: 	 1619 
2,194: 	 D0: 	 1571 				D1: 	 1635 
3,194: 	 D0: 	 1587 				D1: 	 1651 
0,195: 	 D0: 	 1540 				D1: 	 1604 
1,195: 	 D0: 	 1556 				D1: 	 1620 
2,195: 	 D0: 	 1572 				D1: 	 1636 
3,195: 	 D0: 	 1588 				D1: 	 1652 
0,196: 	 D0: 	 1541 				D1: 	 1605 
1,196: 	 D0: 	 1557 				D1: 	 1621 
2,196: 	 D0: 	 1573 				D1: 	 1637 
3,196: 	 D0: 	 1589 				D1: 	 1653 
0,197: 	 D0: 	 1542 				D1: 	 1606 
1,197: 	 D0: 	 1558 				D1: 	 1622 
2,197: 	 D0: 	 1574 				D1: 	 1638 
3,197: 	 D0: 	 1590 				D1: 	 1654 
0,198: 	 D0: 	 1543 				D1: 	 1607 
1,198: 	 D0: 	 1559 				D1: 	 1623 
2,198: 	 D0: 	 1575 				D1: 	 1639 
3,198: 	 D0: 	 1591 				D1: 	 1655 
0,199: 	 D0: 	 1544 				D1: 	 1608 
1,199: 	 D0: 	 1560 				D1: 	 1624 
2,199: 	 D0: 	 1576 				D1: 	 1640 
3,199: 	 D0: 	 1592 				D1: 	 1656 
0,200: 	 D0: 	 1545 				D1: 	 1609 
1,200: 	 D0: 	 1561 				D1: 	 1625 
2,200: 	 D0: 	 1577 				D1: 	 1641 
3,200: 	 D0: 	 1593 				D1: 	 1657 
0,201: 	 D0: 	 1546 				D1: 	 1610 
1,201: 	 D0: 	 1562 				D1: 	 1626 
2,201: 	 D0: 	 1578 				D1: 	 1642 
3,201: 	 D0: 	 1594 				D1: 	 1658 
0,202: 	 D0: 	 1547 				D1: 	 1611 
1,202: 	 D0: 	 1563 				D1: 	 1627 
2,202: 	 D0: 	 1579 				D1: 	 1643 
3,202: 	 D0: 	 1595 				D1: 	 1659 
0,203: 	 D0: 	 1548 				D1: 	 1612 
1,203: 	 D0: 	 1564 				D1: 	 1628 
2,203: 	 D0: 	 1580 				D1: 	 1644 
3,203: 	 D0: 	 1596 				D1: 	 1660 
0,204: 	 D0: 	 1549 				D1: 	 1613 
1,204: 	 D0: 	 1565 				D1: 	 1629 
2,204: 	 D0: 	 1581 				D1: 	 1645 
3,204: 	 D0: 	 1597 				D1: 	 1661 
0,205: 	 D0: 	 1550 				D1: 	 1614 
1,205: 	 D0: 	 1566 				D1: 	 1630 
2,205: 	 D0: 	 1582 				D1: 	 1646 
3,205: 	 D0: 	 1598 				D1: 	 1662 
0,206: 	 D0: 	 1551 				D1: 	 1615 
1,206: 	 D0: 	 1567 				D1: 	 1631 
2,206: 	 D0: 	 1583 				D1: 	 1647 
3,206: 	 D0: 	 1599 				D1: 	 1663 
0,207: 	 D0: 	 1552 				D1: 	 1616 
1,207: 	 D0: 	 1568 				D1: 	 1632 
2,207: 	 D0: 	 1584 				D1: 	 1648 
3,207: 	 D0: 	 1600 				D1: 	 1664 
0,208: 	 D0: 	 1665 				D1: 	 1729 
1,208: 	 D0: 	 1681 				D1: 	 1745 
2,208: 	 D0: 	 1697 				D1: 	 1761 
3,208: 	 D0: 	 1713 				D1: 	 1777 
0,209: 	 D0: 	 1666 				D1: 	 1730 
1,209: 	 D0: 	 1682 				D1: 	 1746 
2,209: 	 D0: 	 1698 				D1: 	 1762 
3,209: 	 D0: 	 1714 				D1: 	 1778 
0,210: 	 D0: 	 1667 				D1: 	 1731 
1,210: 	 D0: 	 1683 				D1: 	 1747 
2,210: 	 D0: 	 1699 				D1: 	 1763 
3,210: 	 D0: 	 1715 				D1: 	 1779 
0,211: 	 D0: 	 1668 				D1: 	 1732 
1,211: 	 D0: 	 1684 				D1: 	 1748 
2,211: 	 D0: 	 1700 				D1: 	 1764 
3,211: 	 D0: 	 1716 				D1: 	 1780 
0,212: 	 D0: 	 1669 				D1: 	 1733 
1,212: 	 D0: 	 1685 				D1: 	 1749 
2,212: 	 D0: 	 1701 				D1: 	 1765 
3,212: 	 D0: 	 1717 				D1: 	 1781 
0,213: 	 D0: 	 1670 				D1: 	 1734 
1,213: 	 D0: 	 1686 				D1: 	 1750 
2,213: 	 D0: 	 1702 				D1: 	 1766 
3,213: 	 D0: 	 1718 				D1: 	 1782 
0,214: 	 D0: 	 1671 				D1: 	 1735 
1,214: 	 D0: 	 1687 				D1: 	 1751 
2,214: 	 D0: 	 1703 				D1: 	 1767 
3,214: 	 D0: 	 1719 				D1: 	 1783 
0,215: 	 D0: 	 1672 				D1: 	 1736 
1,215: 	 D0: 	 1688 				D1: 	 1752 
2,215: 	 D0: 	 1704 				D1: 	 1768 
3,215: 	 D0: 	 1720 				D1: 	 1784 
0,216: 	 D0: 	 1673 				D1: 	 1737 
1,216: 	 D0: 	 1689 				D1: 	 1753 
2,216: 	 D0: 	 1705 				D1: 	 1769 
3,216: 	 D0: 	 1721 				D1: 	 1785 
0,217: 	 D0: 	 1674 				D1: 	 1738 
1,217: 	 D0: 	 1690 				D1: 	 1754 
2,217: 	 D0: 	 1706 				D1: 	 1770 
3,217: 	 D0: 	 1722 				D1: 	 1786 
0,218: 	 D0: 	 1675 				D1: 	 1739 
1,218: 	 D0: 	 1691 				D1: 	 1755 
2,218: 	 D0: 	 1707 				D1: 	 1771 
3,218: 	 D0: 	 1723 				D1: 	 1787 
0,219: 	 D0: 	 1676 				D1: 	 1740 
1,219: 	 D0: 	 1692 				D1: 	 1756 
2,219: 	 D0: 	 1708 				D1: 	 1772 
3,219: 	 D0: 	 1724 				D1: 	 1788 
0,220: 	 D0: 	 1677 				D1: 	 1741 
1,220: 	 D0: 	 1693 				D1: 	 1757 
2,220: 	 D0: 	 1709 				D1: 	 1773 
3,220: 	 D0: 	 1725 				D1: 	 1789 
0,221: 	 D0: 	 1678 				D1: 	 1742 
1,221: 	 D0: 	 1694 				D1: 	 1758 
2,221: 	 D0: 	 1710 				D1: 	 1774 
3,221: 	 D0: 	 1726 				D1: 	 1790 
0,222: 	 D0: 	 1679 				D1: 	 1743 
1,222: 	 D0: 	 1695 				D1: 	 1759 
2,222: 	 D0: 	 1711 				D1: 	 1775 
3,222: 	 D0: 	 1727 				D1: 	 1791 
0,223: 	 D0: 	 1680 				D1: 	 1744 
1,223: 	 D0: 	 1696 				D1: 	 1760 
2,223: 	 D0: 	 1712 				D1: 	 1776 
3,223: 	 D0: 	 1728 				D1: 	 1792 
0,224: 	 D0: 	 1793 				D1: 	 1857 
1,224: 	 D0: 	 1809 				D1: 	 1873 
2,224: 	 D0: 	 1825 				D1: 	 1889 
3,224: 	 D0: 	 1841 				D1: 	 1905 
0,225: 	 D0: 	 1794 				D1: 	 1858 
1,225: 	 D0: 	 1810 				D1: 	 1874 
2,225: 	 D0: 	 1826 				D1: 	 1890 
3,225: 	 D0: 	 1842 				D1: 	 1906 
0,226: 	 D0: 	 1795 				D1: 	 1859 
1,226: 	 D0: 	 1811 				D1: 	 1875 
2,226: 	 D0: 	 1827 				D1: 	 1891 
3,226: 	 D0: 	 1843 				D1: 	 1907 
0,227: 	 D0: 	 1796 				D1: 	 1860 
1,227: 	 D0: 	 1812 				D1: 	 1876 
2,227: 	 D0: 	 1828 				D1: 	 1892 
3,227: 	 D0: 	 1844 				D1: 	 1908 
0,228: 	 D0: 	 1797 				D1: 	 1861 
1,228: 	 D0: 	 1813 				D1: 	 1877 
2,228: 	 D0: 	 1829 				D1: 	 1893 
3,228: 	 D0: 	 1845 				D1: 	 1909 
0,229: 	 D0: 	 1798 				D1: 	 1862 
1,229: 	 D0: 	 1814 				D1: 	 1878 
2,229: 	 D0: 	 1830 				D1: 	 1894 
3,229: 	 D0: 	 1846 				D1: 	 1910 
0,230: 	 D0: 	 1799 				D1: 	 1863 
1,230: 	 D0: 	 1815 				D1: 	 1879 
2,230: 	 D0: 	 1831 				D1: 	 1895 
3,230: 	 D0: 	 1847 				D1: 	 1911 
0,231: 	 D0: 	 1800 				D1: 	 1864 
1,231: 	 D0: 	 1816 				D1: 	 1880 
2,231: 	 D0: 	 1832 				D1: 	 1896 
3,231: 	 D0: 	 1848 				D1: 	 1912 
0,232: 	 D0: 	 1801 				D1: 	 1865 
1,232: 	 D0: 	 1817 				D1: 	 1881 
2,232: 	 D0: 	 1833 				D1: 	 1897 
3,232: 	 D0: 	 1849 				D1: 	 1913 
0,233: 	 D0: 	 1802 				D1: 	 1866 
1,233: 	 D0: 	 1818 				D1: 	 1882 
2,233: 	 D0: 	 1834 				D1: 	 1898 
3,233: 	 D0: 	 1850 				D1: 	 1914 
0,234: 	 D0: 	 1803 				D1: 	 1867 
1,234: 	 D0: 	 1819 				D1: 	 1883 
2,234: 	 D0: 	 1835 				D1: 	 1899 
3,234: 	 D0: 	 1851 				D1: 	 1915 
0,235: 	 D0: 	 1804 				D1: 	 1868 
1,235: 	 D0: 	 1820 				D1: 	 1884 
2,235: 	 D0: 	 1836 				D1: 	 1900 
3,235: 	 D0: 	 1852 				D1: 	 1916 
0,236: 	 D0: 	 1805 				D1: 	 1869 
1,236: 	 D0: 	 1821 				D1: 	 1885 
2,236: 	 D0: 	 1837 				D1: 	 1901 
3,236: 	 D0: 	 1853 				D1: 	 1917 
0,237: 	 D0: 	 1806 				D1: 	 1870 
1,237: 	 D0: 	 1822 				D1: 	 1886 
2,237: 	 D0: 	 1838 				D1: 	 1902 
3,237: 	 D0: 	 1854 				D1: 	 1918 
0,238: 	 D0: 	 1807 				D1: 	 1871 
1,238: 	 D0: 	 1823 				D1: 	 1887 
2,238: 	 D0: 	 1839 				D1: 	 1903 
3,238: 	 D0: 	 1855 				D1: 	 1919 
0,239: 	 D0: 	 1808 				D1: 	 1872 
1,239: 	 D0: 	 1824 				D1: 	 1888 
2,239: 	 D0: 	 1840 				D1: 	 1904 
3,239: 	 D0: 	 1856 				D1: 	 1920 
0,240: 	 D0: 	 1921 				D1: 	 1985 
1,240: 	 D0: 	 1937 				D1: 	 2001 
2,240: 	 D0: 	 1953 				D1: 	 2017 
3,240: 	 D0: 	 1969 				D1: 	 2033 
0,241: 	 D0: 	 1922 				D1: 	 1986 
1,241: 	 D0: 	 1938 				D1: 	 2002 
2,241: 	 D0: 	 1954 				D1: 	 2018 
3,241: 	 D0: 	 1970 				D1: 	 2034 
0,242: 	 D0: 	 1923 				D1: 	 1987 
1,242: 	 D0: 	 1939 				D1: 	 2003 
2,242: 	 D0: 	 1955 				D1: 	 2019 
3,242: 	 D0: 	 1971 				D1: 	 2035 
0,243: 	 D0: 	 1924 				D1: 	 1988 
1,243: 	 D0: 	 1940 				D1: 	 2004 
2,243: 	 D0: 	 1956 				D1: 	 2020 
3,243: 	 D0: 	 1972 				D1: 	 2036 
0,244: 	 D0: 	 1925 				D1: 	 1989 
1,244: 	 D0: 	 1941 				D1: 	 2005 
2,244: 	 D0: 	 1957 				D1: 	 2021 
3,244: 	 D0: 	 1973 				D1: 	 2037 
0,245: 	 D0: 	 1926 				D1: 	 1990 
1,245: 	 D0: 	 1942 				D1: 	 2006 
2,245: 	 D0: 	 1958 				D1: 	 2022 
3,245: 	 D0: 	 1974 				D1: 	 2038 
0,246: 	 D0: 	 1927 				D1: 	 1991 
1,246: 	 D0: 	 1943 				D1: 	 2007 
2,246: 	 D0: 	 1959 				D1: 	 2023 
3,246: 	 D0: 	 1975 				D1: 	 2039 
0,247: 	 D0: 	 1928 				D1: 	 1992 
1,247: 	 D0: 	 1944 				D1: 	 2008 
2,247: 	 D0: 	 1960 				D1: 	 2024 
3,247: 	 D0: 	 1976 				D1: 	 2040 
0,248: 	 D0: 	 1929 				D1: 	 1993 
1,248: 	 D0: 	 1945 				D1: 	 2009 
2,248: 	 D0: 	 1961 				D1: 	 2025 
3,248: 	 D0: 	 1977 				D1: 	 2041 
0,249: 	 D0: 	 1930 				D1: 	 1994 
1,249: 	 D0: 	 1946 				D1: 	 2010 
2,249: 	 D0: 	 1962 				D1: 	 2026 
3,249: 	 D0: 	 1978 				D1: 	 2042 
0,250: 	 D0: 	 1931 				D1: 	 1995 
1,250: 	 D0: 	 1947 				D1: 	 2011 
2,250: 	 D0: 	 1963 				D1: 	 2027 
3,250: 	 D0: 	 1979 				D1: 	 2043 
0,251: 	 D0: 	 1932 				D1: 	 1996 
1,251: 	 D0: 	 1948 				D1: 	 2012 
2,251: 	 D0: 	 1964 				D1: 	 2028 
3,251: 	 D0: 	 1980 				D1: 	 2044 
0,252: 	 D0: 	 1933 				D1: 	 1997 
1,252: 	 D0: 	 1949 				D1: 	 2013 
2,252: 	 D0: 	 1965 				D1: 	 2029 
3,252: 	 D0: 	 1981 				D1: 	 2045 
0,253: 	 D0: 	 1934 				D1: 	 1998 
1,253: 	 D0: 	 1950 				D1: 	 2014 
2,253: 	 D0: 	 1966 				D1: 	 2030 
3,253: 	 D0: 	 1982 				D1: 	 2046 
0,254: 	 D0: 	 1935 				D1: 	 1999 
1,254: 	 D0: 	 1951 				D1: 	 2015 
2,254: 	 D0: 	 1967 				D1: 	 2031 
3,254: 	 D0: 	 1983 				D1: 	 2047 
0,255: 	 D0: 	 1936 				D1: 	 2000 
1,255: 	 D0: 	 1952 				D1: 	 2016 
2,255: 	 D0: 	 1968 				D1: 	 2032 
3,255: 	 D0: 	 1984 				D1: 	 2048 
